ID;Meal;Restaurant;Type;Cal;P;C;F;Like Trigger;Reg;Vegan;Veg;Breakfast;Lunch;Dinner;;;;;;;;;;;;
54;Tuna & Salmon Poke;Abokado;Lunch / Dinner;229;18,3;12,7;12,2;1;1;1;1;-;1;1;;;;;;;;;;;;
55;Vegan Poke;Abokado;Lunch / Dinner;396;12;33,8;24,5;1;1;1;1;-;1;1;;;;;;;;;;;;
56;Salmon & Grain Poke;Abokado;Lunch / Dinner;448;24,3;65,2;8,7;1;1;1;1;-;1;1;;;;;;;;;;;;
57;Salmon & Sesame Seaweed Topper;Abokado;Lunch / Dinner;201;17,6;7,7;10,6;1;1;1;1;-;1;1;;;;;;;;;;;;
58;Salmon & Edamame;Abokado;Lunch / Dinner;197;20,7;3,8;10,8;1;1;1;1;-;1;1;;;;;;;;;;;;
59;Sesame Seaweed Topper;Abokado;Lunch / Dinner;64;0,9;11,5;1,7;1;1;1;1;-;1;1;;;;;;;;;;;;
60;Edamame Beans;Abokado;Lunch / Dinner;134;11,5;8,9;3,3;1;1;1;1;-;1;1;;;;;;;;;;;;
61;Lucky 13;Abokado;Lunch / Dinner;557;30;66;18,8;1;1;1;1;-;1;1;;;;;;;;;;;;
62;River Run (dressing not included);Abokado;Lunch / Dinner;457;24,1;59,9;12,9;1;1;1;1;-;1;1;;;;;;;;;;;;
63;Omega 3;Abokado;Lunch / Dinner;540;24,6;73,4;14,7;1;1;1;1;-;1;1;;;;;;;;;;;;
64;Deep Blue;Abokado;Lunch / Dinner;404;21,5;76,9;19;1;1;1;1;-;1;1;;;;;;;;;;;;
65;California Nigiri;Abokado;Lunch / Dinner;584;17,5;58,9;30;1;1;1;1;-;1;1;;;;;;;;;;;;
66;Katsu Nigiri;Abokado;Lunch / Dinner;585;25,6;64,7;23,9;1;1;1;1;-;1;1;;;;;;;;;;;;
67;Clean & Green (dressing not included);Abokado;Lunch / Dinner;576;13,3;87,4;18,1;1;1;1;1;-;1;1;;;;;;;;;;;;
68;Chicken Katsu Salad (dressing not included);Abokado;Lunch / Dinner;570;30,7;65;21,8;1;1;1;1;-;1;1;;;;;;;;;;;;
69;Kickin' Chicken;Abokado;Lunch / Dinner;696;35,8;83,5;23,9;1;1;1;1;-;1;1;;;;;;;;;;;;
70;Omega Lite;Abokado;Lunch / Dinner;351;19,9;49,7;7,8;1;1;1;1;-;1;1;;;;;;;;;;;;
71;Oishi;Abokado;Lunch / Dinner;410;15;54,8;13,5;1;1;1;1;-;1;1;;;;;;;;;;;;
72;Salmon & Avo Dragon Roll;Abokado;Lunch / Dinner;420;14,4;53,2;15,5;1;1;1;1;-;1;1;;;;;;;;;;;;
73;California Dragon Roll;Abokado;Lunch / Dinner;506;9,9;53,6;27,5;1;1;1;1;-;1;1;;;;;;;;;;;;
74;Veggie Dragon Roll;Abokado;Lunch / Dinner;424;9,3;53,6;18,7;1;1;1;1;-;1;1;;;;;;;;;;;;
75;Teriyaki Dragon Roll;Abokado;Lunch / Dinner;387;18,6;57,3;9;1;1;1;1;-;1;1;;;;;;;;;;;;
76;Teriyaki Chicken on Brown Rice;Abokado;Lunch / Dinner;529;31,4;93,5;6,1;1;1;1;1;-;1;1;;;;;;;;;;;;
77;Red Thai Chicken on Brown Rice;Abokado;Lunch / Dinner;551;24;88,8;13,9;1;1;1;1;-;1;1;;;;;;;;;;;;
78;Thai Green Chicken Curry on Brown Rice;Abokado;Lunch / Dinner;557;24,4;89,6;14;1;1;1;1;-;1;1;;;;;;;;;;;;
79;Veggie Gyoza on Brown Rice;Abokado;Lunch / Dinner;686;16,2;118,8;18,6;1;1;1;1;-;1;1;;;;;;;;;;;;
